"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"0-9",8.45967741935484,2.31305418719212,1.68815331010453,2.2171875,2.45106951871658,2.9144204851752,1.48880597014925,1.3,1.275
"10-19",2.31305418719212,15.1960784313725,2.16118421052632,1.74801136363636,2.43689806128831,3.77678571428571,2.20833333333333,1.25,1.55263157894737
"20-29",1.68815331010453,2.16118421052632,5.69736842105263,2.48643410852713,1.73080397470641,1.84307692307692,1.49083333333333,1.25,1.15
"30-39",2.2171875,1.74801136363636,2.48643410852713,2.74444444444444,2.37997512437811,1.86789851075565,1.80909090909091,1.29891304347826,1.11538461538462
"40-49",2.45106951871658,2.43689806128831,1.73080397470641,2.37997512437811,2.97435897435897,2.22322775263952,1.80604288499025,1.49193548387097,2.0952380952381
"50-59",2.9144204851752,3.77678571428571,1.84307692307692,1.86789851075565,2.22322775263952,2.41269841269841,2.11126126126126,1.26,1.42391304347826
"60-69",1.48880597014925,2.20833333333333,1.49083333333333,1.80909090909091,1.80604288499025,2.11126126126126,1.80555555555556,1.87218045112782,1.19047619047619
"70-79",1.3,1.25,1.25,1.29891304347826,1.49193548387097,1.26,1.87218045112782,1.18181818181818,1
"80+",1.275,1.55263157894737,1.15,1.11538461538462,2.0952380952381,1.42391304347826,1.19047619047619,1,1
