age_group,count,mean,binomial std
0.0,1144.0,0.47202797202797203,0.014759658614694252
1.0,2599.0,0.32858791843016544,0.009213342832294948
2.0,3651.0,0.24239934264585045,0.007092183663214481
3.0,2053.0,0.2109108621529469,0.00900363812321972
4.0,1984.0,0.20665322580645162,0.009090374819000536
5.0,1864.0,0.20547210300429183,0.00935853899321895
6.0,1394.0,0.26255380200860834,0.011785362339184875
7.0,783.0,0.3486590038314176,0.017030357646919625
8.0,645.0,0.517829457364341,0.01967495990362996
